0,0,0,genus,species,taxonCH,speciesCH,SEN,Nr_SISF,TaxonID,Rangstufe,Familie,0,0,0,already_cut,height_ave,height_max,0,0,0,0,0,worms,representativitaet,qualitaet
0,0,0,Elymus,repe,Elymus repens (L.) Gould,Elymus repens (L.) Gould,2089,146560,1016450,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Agrost,alpi,Agrostis alpina Scop.,Agrostis alpina Scop.,121,8400,1001060,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Agrost,capi,Agrostis capillaris L.,Agrostis capillaris L.,127,8600,1001080,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Agrost,giga,Agrostis gigantea Roth,Agrostis gigantea Roth,129,8700,1001090,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Agrost,rupe,Agrostis rupestris All.,Agrostis rupestris All.,131,8900,1001100,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Agrost,stol,Agrostis stolonifera L.,Agrostis stolonifera L.,130,9300,1001130,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
X,0,0,Alopec,prat,Alopecurus pratensis L.,Alopecurus pratensis L.,358,26000,1002920,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Anthox,alpi,Anthoxanthum alpinum Á. Löve & D. Löve,Anthoxanthum alpinum Á. Löve & D. Löve,498,35300,1003940,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Anthox,odor,Anthoxanthum odoratum L.,Anthoxanthum odoratum L.,499,35400,1003970,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
X,0,0,Arrhen,elat,Arrhenatherum elatius (L.) J. Presl & C. Presl,Arrhenatherum elatius (L.) J. Presl & C. Presl,628,45900,1004930,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Brachy,rupe,Brachypodium rupestre (Host) Roem. & Schult.,Brachypodium rupestre (Host) Roem. & Schult.,895,64100,1007080,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Briza,medi,Briza media L.,Briza media L.,917,65200,1007200,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Bromus,erec,Bromus erectus Huds.,Bromus erectus Huds.,934,65695,1007290,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Calama,vari,Calamagrostis varia (Schrad.) Host,Calamagrostis varia (Schrad.) Host,1011,71400,1007940,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Cynosu,cris,Cynosurus cristatus L.,Cynosurus cristatus L.,1807,129400,1014320,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Dactyl,glom,Dactylis glomerata L.,Dactylis glomerata L.,1846,131800,1014610,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Dantho,decu,Danthonia decumbens (L.) DC.,Danthonia decumbens (L.) DC.,1871,133100,1014860,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Descha,cesp,Deschampsia cespitosa (L.) P. Beauv.,Deschampsia cespitosa (L.) P. Beauv.,1898,134800,1015040,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Avenel,flex,Avenella flexuosa (L.) Drejer,Avenella flexuosa (L.) Drejer,800,57400,1006320,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Festuc,ovin,Festuca ovina aggr.,Festuca ovina aggr.,2374,168590,1019310,aggr,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Festuc,prat,Festuca pratensis Huds.,Festuca pratensis Huds.,2410,169100,1019380,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
X,0,0,Festuc,rubr,Festuca rubra aggr.,Festuca rubra aggr.,2415,170200,1019470,aggr,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Helict,pube,Helictotrichon pubescens (Huds.) Pilg.,Helictotrichon pubescens (Huds.) Pilg.,2808,196800,1022390,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Holcus,lana,Holcus lanatus L.,Holcus lanatus L.,2940,206800,1023630,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Lolium,pere,Lolium perenne L.,Lolium perenne L.,3460,242800,1027310,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Lolium,mult,Lolium multiflorum Lam.,Lolium multiflorum Lam.,3459,242700,1027300,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Molini,caer,Molinia caerulea (L.) Moench,Molinia caerulea (L.) Moench,3751,263400,1029440,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Nardus,stri,Nardus stricta L.,Nardus stricta L.,3834,269700,1030080,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Phleum,hirs,Phleum hirsutum Honck.,Phleum hirsutum Honck.,4261,299600,1033370,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Phleum,prat,Phleum pratense L.,Phleum pratense L.,4266,300000,1033410,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
X,0,0,Phleum,alpi,Phleum alpinum L.,Phleum alpinum L.,4259,298800,1033340,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Poa,alpi,Poa alpina L.,Poa alpina L.,4394,309000,1034470,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Poa,annu,Poa annua L.,Poa annua L.,4396,309200,1034490,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Poa,prat,Poa pratensis L.,Poa pratensis L.,4423,310800,1034660,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Poa,supi,Poa supina Schrad.,Poa supina Schrad.,4398,311100,1034680,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Poa,triv,Poa trivialis L.,Poa trivialis L.,4427,311295,1034690,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Sesler,caer,Sesleria caerulea (L.) Ard.,Sesleria caerulea (L.) Ard.,5582,392200,1043700,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
X,0,0,Triset,flav,Trisetum flavescens (L.) P. Beauv.,Trisetum flavescens (L.) P. Beauv.,6118,429400,1047890,sp,Poaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,,,,,,,,,,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,,,,,,,,,,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,,,,,,,,,,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Carex,cary,Carex caryophyllea Latourr.,Carex caryophyllea Latourr.,1228,84900,1009510,sp,Cyperaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Carex,dava,Carex davalliana Sm.,Carex davalliana Sm.,1233,85700,1009570,sp,Cyperaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Carex,echi,Carex echinata Murray,Carex echinata Murray,1244,86700,1009680,sp,Cyperaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Carex,ferr,Carex ferruginea Scop.,Carex ferruginea Scop.,1253,87200,1009730,sp,Cyperaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Carex,flac,Carex flacca Schreb.,Carex flacca Schreb.,1259,87500,1009760,sp,Cyperaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
X,0,0,Carex,lepo,Carex leporina L.,Carex leporina L.,1283,89500,1009970,sp,Cyperaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Carex,mont,Carex montana L.,Carex montana L.,1292,90300,1010040,sp,Cyperaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Carex,nigr,Carex nigra (L.) Reichard,Carex nigra (L.) Reichard,1304,90700,1010070,sp,Cyperaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Carex,orni,Carex ornithopoda Willd.,Carex ornithopoda Willd.,1310,91200,1010090,sp,Cyperaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Carex,pall,Carex pallescens L.,Carex pallescens L.,1312,91600,1010130,sp,Cyperaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Carex,pani,Carex panicea L.,Carex panicea L.,1313,91700,1010140,sp,Cyperaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Carex,semp,Carex sempervirens Vill.,Carex sempervirens Vill.,1327,93900,1010340,sp,Cyperaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Erioph,lati,Eriophorum latifolium Hoppe,Eriophorum latifolium Hoppe,2204,155400,1017660,sp,Cyperaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Juncus,alpi,Juncus alpinoarticulatus Chaix,Juncus alpinoarticulatus Chaix,3099,217700,1024900,sp,Juncaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Juncus,effu,Juncus effusus L.,Juncus effusus L.,3117,218800,1025000,sp,Juncaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Juncus,fili,Juncus filiformis L.,Juncus filiformis L.,3119,218900,1025010,sp,Juncaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Luzula,camp,Luzula campestris (L.) DC.,Luzula campestris (L.) DC.,3519,246100,1027700,sp,Juncaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Luzula,mult,Luzula multiflora (Ehrh.) Lej.,Luzula multiflora (Ehrh.) Lej.,3524,247100,1027790,sp,Juncaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Luzula,spic,Luzula spicata (L.) DC.,Luzula spicata (L.) DC.,3539,247800,1027860,sp,Juncaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Luzula,sylv,Luzula sylvatica (Huds.) Gaudin,Luzula sylvatica (Huds.) Gaudin,3542,248300,1027910,sp,Juncaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Luzula,sude,Luzula sudetica (Willd.) Schult.,Luzula sudetica (Willd.) Schult.,3526,248100,1027890,sp,Juncaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Scirpu,sylv,Scirpus sylvaticus L.,Scirpus sylvaticus L.,5408,379700,1042420,sp,Cyperaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,,,,,,,,,,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,,,,,,,,,,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,,,,,,,,,,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,,,,,,,,,,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,,,,,,,,,,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,,,,,,,,,,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,,,,,,,,,,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Anthyl,vuln,Anthyllis vulneraria L.,Anthyllis vulneraria L.,520,36790,1004070,sp,Fabaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Hippoc,como,Hippocrepis comosa L.,Hippocrepis comosa L.,2929,206300,1023580,sp,Fabaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Lathyr,prat,Lathyrus pratensis L.,Lathyrus pratensis L.,3266,230400,1026050,sp,Fabaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Lotus,alpi,Lotus alpinus (DC.) Ramond,Lotus alpinus (DC.) Ramond,3487,244300,1027500,sp,Fabaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Lotus,corn,Lotus corniculatus L.,Lotus corniculatus L.,3488,244400,1027520,sp,Fabaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Medica,lupu,Medicago lupulina L.,Medicago lupulina L.,3612,255300,1028530,sp,Fabaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Medica,sati,Medicago sativa L.,Medicago sativa L.,3622,256000,1028590,sp,Fabaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Onobry,vici,Onobrychis viciifolia Scop.,Onobrychis viciifolia Scop.,3930,275600,1030860,sp,Fabaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Trifol,alpi,Trifolium alpinum L.,Trifolium alpinum L.,6049,424500,1047370,sp,Fabaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Trifol,badi,Trifolium badium Schreb.,Trifolium badium Schreb.,6060,424900,1047410,sp,Fabaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Trifol,medi,Trifolium medium L.,Trifolium medium L.,6070,426000,1047520,sp,Fabaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Trifol,mont,Trifolium montanum L.,Trifolium montanum L.,6072,426300,1047540,sp,Fabaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
X,0,0,Trifol,prat,Trifolium pratense L.,Trifolium pratense L.,6082,426895,1047600,sp,Fabaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
X,0,0,Trifol,repe,Trifolium repens L.,Trifolium repens L.,6085,427100,1047630,sp,Fabaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Trifol,thal,Trifolium thalii Vill.,Trifolium thalii Vill.,6098,428100,1047760,sp,Fabaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
x,0,0,Vicia,crac,Vicia cracca L.,Vicia cracca L.,6326,444995,1049620,sp,Fabaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Vicia,sepi,Vicia sepium L.,Vicia sepium L.,6360,447400,1049860,sp,Fabaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,,,,,,,,,,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,,,,,,,,,,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,,,,,,,,,,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,,,,,,,,,,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,,,,,,,,,,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
X,0,0,Achill,mill,Achillea millefolium L.,Achillea millefolium L.,31,1700,1000330,sp,Asteraceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Acinos,alpi,Acinos alpinus (L.) Moench,Acinos alpinus (L.) Moench,51,2800,1000460,sp,Lamiaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Ajuga,pyra,Ajuga pyramidalis L.,Ajuga pyramidalis L.,143,10300,1001220,sp,Lamiaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Ajuga,rept,Ajuga reptans L.,Ajuga reptans L.,144,10400,1001230,sp,Lamiaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
X,0,0,Alchem,vulg,Alchemilla vulgaris aggr.,Alchemilla vulgaris aggr.,191,21100,1002440,aggr,Rosaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Andros,cham,Androsace chamaejasme Wulfen,Androsace chamaejasme Wulfen,436,31800,1003540,sp,Primulaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Anemon,narc,Anemone narcissiflora L.,Anemone narcissiflora L.,462,33400,1003760,sp,Ranunculaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Antenn,dioi,Antennaria dioica (L.) Gaertn.,Antennaria dioica (L.) Gaertn.,476,34400,1003850,sp,Asteraceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
X,0,0,Anthri,sylv,Anthriscus sylvestris (L.) Hoffm.,Anthriscus sylvestris (L.) Hoffm.,506,35900,1004010,sp,Apiaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Arabis,cili,Arabis ciliata Clairv.,Arabis ciliata Clairv.,560,40200,1004440,sp,Brassicaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Arabis,hirs,Arabis hirsuta (L.) Scop.,Arabis hirsuta (L.) Scop.,561,40600,1004460,sp,Brassicaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Arnica,mont,Arnica montana L.,Arnica montana L.,624,45700,1004910,sp,Asteraceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Aster,bell,Aster bellidiastrum (L.) Scop.,Aster bellidiastrum (L.) Scop.,718,52000,1005660,sp,Asteraceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Astran,majo,Astrantia major L.,Astrantia major L.,764,55200,1006020,sp,Apiaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Astran,mino,Astrantia minor L.,Astrantia minor L.,765,55300,1006050,sp,Apiaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Bartsi,alpi,Bartsia alpina L.,Bartsia alpina L.,816,58700,1006460,sp,Orobanchaceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
0,0,0,Bellis,pere,Bellis perennis L.,Bellis perennis L.,825,59100,1006490,sp,Asteraceae,IWRW1,auth,date,cut,ave,max,cover,mossy,dead,stone,soil,wormy,representativitaet,qualitaet
