Species,pH,Elevation,Light,Water,Nutrients
alpina,5.5,1980,100,4.5,2
alpina,7,1975,100,4,3
alpina,6.5,1990,100,4.5,3.5
alpina,7,2005,50,3,4.5
alpina,5.5,2030,30,2,2
alpina,6.5,2120,40,4,2.5
alpina,7,2110,40,4.5,2.5
alpina,7,2230,85,1,1
alpina,6,2230,100,1,1
alpina,6.5,2260,100,4,2
alpina,7,2260,100,5,2
alpina,5.5,2240,80,3,1.5
alpina,6,2030,70,2,1
alpina,6,2030,65,2,1
leptoceras,5.5,2020,80,2,1
leptoceras,5,2000,95,2,1
alpina,6,1990,95,2,1
alpina,6,1990,40,2,1
leptoceras,5.5,1980,100,2,1
vulgaris,7,1939,90,4,3.5
vulgaris,6.5,1945,55,3.5,3
vulgaris,7,1950,40,1,1
vulgaris,6.5,1955,100,2,2.5
vulgaris,7,1965,100,1,1
vulgaris,6.5,1965,100,5,3
vulgaris,6.5,1960,100,3.5,2.5
vulgaris,6.5,1960,100,5,3
vulgaris,6.5,2000,100,3.5,3
vulgaris,6,2005,90,4.5,3
vulgaris,6.5,1990,100,3,2.5
vulgaris,6.5,1950,100,5,2.5
vulgaris,6.5,1860,30,4,2
vulgaris,6.5,1860,30,2,2
leptoceras,6.5,1845,90,1.5,1.5
vulgaris,6.5,1825,70,3,2